Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Upper middle income,UMC,"Population, total",SP.POP.TOTL,1149653372,1155585967,1174054217,1204001559,1233716139,1264038910,1297805820,1330989567,1365250009,1401337527,1438175379,1475716769,1511690371,1546811742,1580570358,1612227500,1642473603,1671398930,1700492780,1729895531,1759188322,1789774534,1822722888,1855424369,1887255119,1919685969,1953571641,1988890401,2024305816,2059000415,2092646700,2124538033,2154585863,2182939692,2210505244,2237605345,2264443158,2290953835,2316706589,2341274091,2365022283,2387807616,2409341702,2430373908,2451601935,2472862826,2493333038,2512165159,2532345548,2553016162,2573477299,2594753350,2618433663,2642565703,2665784793,2688052361,2709558794,2731375253,2751833495,2770250954,2785181241,2796326198,2803432387,2809441887,2818128105
Uruguay,URY,"Population, total",SP.POP.TOTL,2529957,2562044,2593298,2623766,2653180,2681169,2707646,2732277,2754606,2773974,2790807,2806462,2821644,2837133,2853944,2872320,2891392,2909461,2925715,2939903,2951953,2963246,2975492,2988778,3002488,3017037,3032845,3049896,3067961,3086255,3104403,3122354,3139702,3156345,3172834,3189440,3206324,3223345,3239280,3254015,3266206,3274251,3278867,3281186,3283148,3285771,3289506,3295153,3302177,3310091,3318580,3326825,3335401,3345337,3356334,3368017,3379283,3388438,3394534,3397206,3398968,3396695,3390913,3388081,3386588
United States,USA,"Population, total",SP.POP.TOTL,180671000,183691000,186538000,189242000,191889000,194303000,196560000,198712000,200706000,202677000,205052000,207661000,209896000,211909000,213854000,215973000,218035000,220239000,222585000,225055000,227225000,229466000,231664000,233792000,235825000,237924000,240133000,242289000,244499000,246819000,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378227,311839461,314339099,316726282,319257560,321815121,324353340,326608609,328529577,330226227,331577720,332099760,334017321,336806231,340110988
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,8209109,8517711,8854368,9202246,9557611,9921681,10289294,10659180,11032155,11403150,11762638,12111511,12465106,12831047,13209011,13598521,13998620,14408822,14816349,15215587,15619936,16035032,16462736,16908400,17378846,17875339,18395621,18930070,19460630,19977183,20464956,20962910,21485090,21987955,22463291,22917589,23351981,23758960,24134929,24476008,24787054,25090283,25399980,25711259,26029350,26356975,26699043,27076008,27494774,27939328,28385506,28823196,29261903,29724065,30222994,30749346,31284568,31819178,32373490,32964701,33586372,34243696,34938955,35652307,36361859
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,84388,85870,87236,88523,89749,90927,92052,93124,94123,95058,95964,96872,97790,98691,99556,100387,101197,101999,102775,103478,104213,105073,105969,106838,107687,108506,109281,110001,110658,111272,111812,112222,112509,112735,112918,113047,113119,113141,113180,113366,113545,113501,113347,113141,112835,112450,112014,111531,111028,110508,109959,109349,108736,108135,107535,106960,106349,105663,104926,104167,103526,102841,102046,101323,100616
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,8160090,8455915,8756870,9064021,9377712,9697790,10024854,10358513,10697530,11040280,11387790,11741008,12099180,12463537,12835351,13215892,13606284,14006812,14416684,14834552,15258218,15687297,16121874,16562205,17008841,17461434,17923536,18394963,18871020,19348921,19827010,20304896,20780948,21254520,21725188,22193821,22662113,23131685,23601337,24066593,24526708,24979922,25435671,25892703,26340838,26785804,27224686,27649363,28053696,28438298,28813101,29185212,29553826,29912198,30254079,30573972,30765720,30565323,29807592,28938098,28444077,28237826,28213017,28300854,28405543
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,7950,8034,8070,8114,8168,8257,8413,8646,9000,9533,9933,10095,10235,10367,10494,10606,10709,10800,10886,10965,11130,11479,11921,12370,12820,13269,13726,14194,14680,15180,15704,16187,16593,16989,17406,17840,18287,18756,19238,19730,20241,20796,21430,22134,22881,23665,24493,25366,26288,27218,27675,28710,30345,31703,32962,34498,33878,32699,34657,36395,37135,37809,38319,38985,39471
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,32500,34300,35000,39800,40800,43500,46200,49100,55700,60300,63476,70937,76319,84121,89941,94484,96166,93203,95929,96183,99636,99853,100068,100348,100600,100760,100842,100901,100952,101041,103963,104807,105712,106578,107318,107818,108095,108357,108537,108599,108642,108549,108509,108505,108466,108453,108369,108337,108397,108404,108357,108290,108188,108041,107882,107712,107516,107281,107001,106669,106290,105870,105413,104917,104377
Viet Nam,VNM,"Population, total",SP.POP.TOTL,32531933,33409059,34288560,35249101,36201563,37129656,38024836,38895080,39734609,40582096,41475230,42449276,43429168,44409861,45413537,46482903,47684931,48954872,50249552,51378211,52490101,53738141,55011289,56337921,57706067,59060622,60347048,61584651,62843228,64147348,65504552,66891775,68260337,69586384,70854391,72049940,73156447,74226889,75299660,76287452,77154011,77969361,78772224,79563777,80338971,81088313,82167897,83633375,85175788,86460018,87455152,88468314,89510356,90573104,91679578,92823254,94000117,95176977,96237319,97173776,98079191,98935098,99680655,100352192,100987686
Vanuatu,VUT,"Population, total",SP.POP.TOTL,64431,66264,68174,70159,72219,74358,76590,78921,81314,83755,86266,88862,91562,94362,97260,100269,103388,106618,109963,113040,115660,118249,121035,123998,127109,130356,133720,137187,140756,144393,148063,151793,155608,159463,163314,167137,170911,174626,178313,182048,186281,191031,195863,200746,205711,210760,215923,221276,226896,232731,238248,243474,248883,254482,260240,266101,272087,278507,285259,291985,298858,305868,313046,320409,327777
World,WLD,"Population, total",SP.POP.TOTL,3021512598,3062768116,3117372187,3184063049,3251253200,3318997522,3389087189,3459015356,3530703561,3604815552,3680589045,3758613546,3834446322,3911068458,3987294240,4062070771,4135758539,4208958804,4283431043,4360056401,4437602892,4516926190,4599539241,4682924536,4766040300,4850740788,4937711562,5027030278,5117167006,5207654866,5299246757,5388496228,5477123965,5564778620,5650853177,5736505516,5822614626,5908466557,5994040064,6078404337,6161884811,6245112906,6327557399,6409750441,6492769815,6575841506,6659977025,6744489399,6830513541,6916589116,7001266876,7087120034,7176968877,7265970522,7354183367,7441826877,7529066617,7614748582,7697492379,7778303912,7855075060,7920861888,7990399768,8064976601,8142056446
Samoa,WSM,"Population, total",SP.POP.TOTL,112490,115496,118597,121764,124894,127978,131073,133764,136020,138233,140400,142503,144538,146516,149431,153344,157113,159753,161375,162882,164322,165678,166484,166714,166796,166849,167061,167661,168346,168768,169042,169368,170331,171774,173159,174571,176071,177547,178905,180275,181685,183166,184471,185430,186249,186978,187709,188753,190107,191513,193023,194713,196498,198268,200037,201782,203499,205415,207582,209780,211944,213779,215261,216663,218019
Kosovo,XKX,"Population, total",SP.POP.TOTL,984846,1011421,1036950,1062737,1090270,1120168,1152586,1187667,1214208,1231460,1249555,1273021,1301579,1331176,1363123,1397686,1434880,1474457,1516249,1559787,1604818,1646565,1683166,1719245,1756818,1796018,1836972,1880590,1917882,1946339,1973790,2005362,2039723,2072664,2105256,2137514,2168753,2197284,2078964,1871524,1802493,1820009,1829462,1826434,1822773,1818354,1813079,1807094,1800858,1794681,1788743,1791949,1807126,1818119,1812788,1788274,1777568,1791019,1797086,1788891,1790151,1786079,1768096,1682668,1527324
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,5532301,5655232,5782221,5911135,6048006,6195593,6351494,6516444,6690524,6875859,7065279,7257462,7460068,7672796,7896783,8133598,8384113,8648222,8926586,9224194,9543358,9882362,10241006,10621499,11025597,11453825,11901040,12369912,12859708,13364174,13887862,14430201,14989494,15563914,16149147,16740058,17313177,17873936,18446013,19029420,19624141,20226147,20835086,21456379,22095167,22790085,23543083,24318082,25111941,25927724,26754387,27582897,28433647,29312952,30226309,31159379,32109010,33090921,34085182,35111408,36134863,37140230,38222876,39390799,40583164
South Africa,ZAF,"Population, total",SP.POP.TOTL,16440172,16908035,17418522,17954564,18511361,19089380,19690087,20314066,20957287,21614676,22279984,22942143,23609456,24294263,24989108,25690940,26395450,27118952,27869507,28634162,29518857,30541044,31615339,32739304,33892788,35042093,36180515,37326190,38480649,39628575,40746268,41687898,42443509,43297156,44004139,44541554,45123018,45666838,46223880,46730335,47159719,47566800,48019415,48500348,48991421,49490033,49998277,50528584,51114599,51728516,52344051,52995205,53782567,54678791,55594838,56723537,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384,64007187
Zambia,ZMB,"Population, total",SP.POP.TOTL,3153729,3254086,3358099,3465907,3577017,3692086,3812003,3936343,4065593,4197116,4321718,4442525,4569309,4702693,4842746,4990086,5143842,5302480,5465374,5631728,5802833,5983289,6178637,6381038,6580490,6780953,6986471,7191282,7391440,7589216,7786169,7981650,8176680,8373921,8576269,8785763,9004053,9237063,9482408,9740005,10017631,10325185,10647949,10983595,11338198,11718819,12129553,12565085,13021324,13490389,13965594,14437796,14913629,15398997,15895315,16399089,16914423,17441320,17973569,18513839,19059395,19603607,20152938,20723965,21314956
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,3809389,3930401,4055959,4185877,4320006,4458462,4601217,4748307,4900440,5058181,5215918,5374712,5542445,5720404,5908328,6098658,6287105,6449512,6543575,6647556,7041303,7498635,7796496,8098404,8391488,8686813,8982578,9284644,9583094,9864798,10137281,10404816,10702700,10860288,10873148,10974599,11158360,11369827,11594297,11783458,11892055,11971901,12087653,12232323,12365896,12483432,12636445,12804058,12959149,13142790,13356548,13595424,13817887,14013808,14207359,14399013,14600294,14812482,15034452,15271368,15526888,15797210,16069056,16340822,16634373
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,27927,28252,28628,28975,29285,29576,29839,29991,30029,30022,29974,29897,29537,29685,29732,29723,29787,29931,30065,30311,30711,31076,31446,31916,32236,31600,30639,30195,30228,30765,31959,33639,35307,37753,39813,41027,42782,44564,45760,46467,47005,47494,47867,48445,49521,50865,51837,52275,52723,53128,53240,53643,54517,55414,56080,56721,57213,57275,57429,57655,57382,56900,56652,56653,56784
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,65664349,67414289,69255211,71167509,73174418,75269359,77426491,79669186,82009247,84415389,86900277,89453849,92033265,94753461,97604411,100495165,103474561,106458647,109712584,113219050,116615981,120235628,124174924,128115629,132070241,136089400,140160138,144367848,148574352,152809820,157233149,161612202,166123886,170615813,175343064,180559619,185883069,191018625,195998579,201191851,206453630,211818939,217351101,223035087,228916303,234995227,241255950,247737422,254486224,261472549,268642316,275861051,283305941,291107600,298979833,306996430,315139785,323559276,332453754,341569862,350869705,360249371,369655503,379025748,388462057
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,4344798,4438399,4537295,4640784,4748904,4862718,4980738,5103185,5230999,5363265,5501424,5641896,5786440,5939752,6096225,6249456,6393256,6534395,6671798,6701208,6471736,5875154,5420815,5397808,5550465,5690379,5702941,5696211,5769903,5947460,6034493,6132329,6654765,7486449,8136890,8540171,8882693,9220017,9566944,9922960,10035682,10104514,10640919,11306364,11709120,12119909,12618615,12853489,13131734,13612943,14011779,14532542,15127147,15647752,16221843,16732244,17159297,17649936,18178417,18736474,19343529,19813956,20103167,20530683,21114952
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,49175412,50250612,51358188,52501458,53677241,54894773,56155681,57456754,58810306,60213731,61667791,63161356,64712574,66352232,68088629,69927791,71821386,73791824,75877344,78050551,80280180,82578565,84992552,87331984,89636312,92084041,94608539,97199336,99864964,102623263,105344813,108125278,111101238,114094410,117122780,120319695,123602802,126977528,130487432,134040727,137721472,141577918,145543099,149610946,153819003,158177692,162649593,167241763,171950971,176735213,181646110,186737982,191892541,197088818,202456068,207934891,213499543,219113878,224672701,230166416,235687925,241282911,246948301,252899429,259011880
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,2582555,2610936,2633066,2655756,2679307,2703771,2729028,2754621,2780177,2805479,2850836,2926816,3024968,3138500,3257214,3378619,3501530,3630206,3766633,3908764,4058927,4216591,4381381,4554461,4733983,4918592,5106657,5294982,5486730,5684947,5888322,6095028,6302736,6515298,6738928,6970820,7208789,7455871,7709131,7969513,8239809,8522005,8817845,9128774,9458511,9805023,10167885,10550081,10950695,11369373,11810187,12273289,12754843,13251381,13751500,14252582,14767682,15295911,15829364,16370876,16911493,17455057,18008613,18568216,19138383
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,798472,823469,848431,873289,898281,922894,947139,972115,1000108,1029368,1055496,1080819,1107585,1133580,1159499,1186137,1212334,1239223,1265110,1290809,1318030,1345238,1374683,1405044,1435975,1467026,1496984,1528470,1558860,1603351,1635564,1629264,1623163,1617311,1611664,1606197,1600894,1595783,1590813,1585827,1580903,1568260,1561561,1552793,1543523,1533025,1520970,1507288,1493648,1481568,1472265,1467424,1465129,1462516,1459483,1455176,1452738,1451282,1447593,1441278,1433321,1420794,1404107,1388342,1372731
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,4692,5035,5394,5766,6144,6532,6973,7504,8089,8697,9328,9979,10650,11345,12060,12797,13546,14300,15044,15756,16419,17041,17830,18775,19674,20503,21517,22471,23295,23966,24823,26515,28166,29576,30253,30143,30334,30743,31117,31371,31458,31636,32023,33429,35636,37047,38002,39026,39821,40123,39099,38101,37671,36953,36337,35669,35679,36364,36959,37559,37994,38353,38912,39502,40054
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,45553872,46733696,47947430,49212199,50509339,51836197,53257012,54791119,56383428,58027014,59703653,61406817,63159830,65018366,66945528,68991894,71167162,73366876,75745226,78367271,81045995,83618779,86190446,88870024,91661215,94506428,97395664,100310499,103092777,105854387,109350560,111845877,114679291,117858047,121103690,124173094,127211051,130268555,133421568,136621522,139854821,143108564,146405952,149718432,153104282,156640217,160267960,164079270,168067419,172114978,175630673,179539353,183586476,188093998,192366746,196876834,201355207,205627977,209752508,214102918,218890065,222606670,227614565,232702770,237670490
United Arab Emirates,ARE,"Population, female",SP.POP.TOTL.FE.IN,49431,51160,53032,55050,57170,59254,61068,62312,66526,75574,86485,98109,110391,123264,136633,150322,169796,196040,224252,253893,284007,314068,344562,375784,407485,439252,471440,504212,537092,570030,602945,635726,668239,700314,731731,762917,811273,877490,945282,1014270,1084090,1154939,1227201,1300479,1374026,1447131,1560203,1772259,2017460,2188378,2287634,2413024,2550675,2675228,2812237,2978083,3141120,3253201,3306245,3351539,3348343,3425770,3616601,3772859,3926436
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,10175528,10357370,10539647,10723652,10907254,11088672,11268775,11450939,11637225,11827790,12023844,12226197,12434789,12650533,12872761,13091933,13307092,13527193,13751359,13977319,14205756,14439210,14676897,14916804,15157857,15399848,15642967,15887734,16136524,16385772,16630962,16869703,17103144,17334855,17565566,17793348,18015824,18233978,18448100,18660016,18870186,19076995,19281383,19480492,19676039,19874795,20074295,20266488,20464391,20673509,20883716,21099010,21307318,21507070,21718370,21939310,22147408,22335741,22512096,22665751,22772481,22834166,22880775,22941417,23015446
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,958824,990539,1022504,1054591,1086630,1118427,1149797,1180616,1210708,1239253,1265253,1290907,1318243,1346741,1376228,1406530,1450688,1510495,1573237,1611340,1624735,1638723,1652566,1666610,1683555,1702913,1721727,1740089,1754812,1799212,1853430,1884305,1863267,1803952,1759430,1730597,1715653,1698721,1684577,1674586,1715426,1718087,1713341,1704865,1696262,1687234,1677850,1668302,1660037,1653106,1646388,1639176,1636100,1633875,1628353,1622381,1614828,1607072,1599966,1594385,1592424,1591948,1594364,1589229,1625023
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,9627,9891,10209,10544,10899,11260,11620,11980,12348,12722,13039,13281,13503,13714,13924,14174,14449,14713,14968,15226,15612,16178,16811,17462,18130,18813,19508,20218,20950,21692,22396,23030,23629,24207,24767,25313,25845,26363,26866,27349,27687,27826,27866,27849,27800,27727,27631,27523,27409,27297,27171,27009,26805,26566,26303,26017,25713,25406,25098,24788,24591,24337,23912,23520,23163
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,29047,29502,29894,30290,30766,31319,31868,32427,33010,33609,34011,34119,34077,33958,33830,33737,33714,33774,33875,34005,34131,34217,34291,34376,34268,33952,33628,33297,32967,32642,32345,32421,33011,33781,34591,35451,36355,37258,38099,38869,39606,40260,40774,41200,41614,42058,42553,43101,43704,44334,44909,45416,45881,46287,46641,46966,47248,47499,47726,47940,48179,48430,48670,48908,49139
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,5083846,5187217,5320851,5428796,5538919,5650569,5783560,5859593,5965649,6093060,6216526,6433600,6555758,6659196,6833288,6923356,7000049,7086508,7176249,7260346,7354585,7472967,7602819,7706244,7798953,7902274,8016867,8142502,8280609,8424576,8553216,8667465,8769924,8852484,8941368,9044655,9159837,9265306,9363566,9471180,9583950,9709404,9819455,9931483,10036451,10156915,10291010,10473808,10677043,10893099,11063352,11220344,11420151,11623473,11807380,11989061,12185876,12390298,12575335,12762303,12922405,12940520,13106508,13429072,13706225
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,3764891,3783504,3804071,3825240,3847021,3867102,3888149,3911057,3927517,3938518,3949122,3963018,3981424,3998551,4004843,3998098,3992645,3993267,3989655,3983149,3981998,3988186,3987477,3978767,3975523,3973607,3971398,3968978,3969261,3980555,4002436,4033690,4070958,4098685,4110155,4114223,4118529,4121944,4124768,4130289,4136954,4148251,4163642,4180456,4203427,4228409,4246626,4259438,4272022,4281935,4291038,4303321,4319277,4340495,4368617,4406308,4444184,4472069,4492681,4511901,4530017,4549341,4592386,4637070,4659475
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,2051760,2127494,2187912,2249836,2322401,2389705,2456177,2517806,2575781,2632965,2687056,2742285,2796278,2847107,2896691,2943464,2992079,3046544,3105173,3156473,3198877,3245130,3292376,3340683,3396791,3455353,3513594,3575263,3628241,3677236,3725370,3772125,3827472,3884462,3945945,4010503,4068821,4125526,4182975,4226501,4255061,4280760,4305379,4330999,4361277,4397250,4436760,4478388,4564644,4652844,4701897,4756745,4813149,4868452,4922666,4975274,5020488,5055686,5087628,5123706,5156200,5176589,5175175,5178464,5201576
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,1427970,1463122,1499161,1529752,1572291,1615096,1653334,1694333,1733795,1770564,1808211,1851317,1852910,1852379,1898109,1944124,1986677,2036657,2094494,2145600,2235191,2325904,2383244,2446484,2505186,2558760,2606297,2665468,2725043,2779079,2836917,2895539,2972997,2883393,2902820,3079085,3081768,3082085,3141025,3216336,3283391,3366411,3461939,3571594,3705212,3843265,3982046,4129757,4301154,4521623,4735411,4905577,5081452,5264965,5444623,5568228,5663968,5797317,5973387,6171156,6352087,6526617,6704830,6889475,7069192
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,4670041,4688463,4708343,4743439,4788410,4832026,4864806,4892034,4911621,4926130,4931415,4940964,4961408,4978148,4994687,5009831,5019515,5026504,5031841,5036724,5042742,5043272,5042317,5041972,5042070,5043942,5045520,5049220,5064917,5082566,5097009,5114751,5133653,5152513,5168083,5180063,5191356,5204048,5214851,5226579,5239284,5256453,5278172,5299049,5321822,5350962,5385326,5423102,5463702,5503286,5547894,5617084,5650217,5675983,5700102,5727501,5752119,5773392,5797464,5825838,5847609,5873102,5923682,5977124,6020301
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,1324982,1345546,1367881,1391581,1416729,1443331,1471068,1499848,1529935,1561427,1594377,1628706,1664530,1701944,1740952,1781810,1824743,1869897,1917165,1967004,2020095,2076382,2135342,2196414,2259804,2325825,2394505,2465960,2540228,2617174,2696784,2779049,2863888,2990437,3101195,3165002,3245912,3339811,3441077,3546091,3653787,3763956,3876903,3993540,4114144,4246993,4379553,4506753,4640959,4778532,4919608,5064646,5213397,5365440,5522460,5684296,5849451,6017172,6185787,6354457,6523643,6692742,6863042,7036429,7210159
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,2347781,2388535,2430345,2473411,2518147,2564900,2613276,2663294,2715156,2768216,2822638,2877767,2933820,2992322,3054492,3120962,3192020,3269469,3353313,3442283,3536319,3634279,3735808,3842110,3952965,4067195,4182759,4298739,4415853,4534582,4655542,4776437,4897987,5022958,5152206,5286499,5424397,5566597,5719759,5883966,6055489,6235370,6422474,6617010,6819499,7029076,7245333,7464998,7686863,7914483,8149230,8392832,8647137,8907654,9173374,9445123,9720816,9997287,10267366,10528619,10785623,11041607,11297679,11557013,11818695
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,24878240,25598804,26362885,27151732,27964907,28801088,29657617,30551511,31472067,32385386,33225897,33947031,34750171,35753988,36776225,37762351,38756724,39758252,40766279,41786802,42826188,43957975,45189089,46424537,47644190,48847560,50025293,51175860,52294637,53396565,54491175,55554457,56627781,57723368,58836294,59975549,61123899,62313586,63548936,64815861,66067192,67278611,68468235,69625317,70743192,71813210,72831947,73805299,74736651,75629878,76487607,77354265,78243628,79124505,79993271,80855124,81720325,82462276,83091995,83750865,84419144,85086513,85985502,87109279,88218708
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3939014,3976205,4010589,4042651,4075166,4102985,4127970,4154173,4184183,4217013,4245223,4269363,4290340,4313835,4343883,4365969,4386221,4410797,4418034,4426280,4446408,4463710,4479472,4493898,4508111,4515961,4523067,4534076,4543249,4495116,4420477,4382417,4341549,4312680,4302902,4288873,4271365,4249354,4225312,4205612,4188059,4108648,4022127,3991027,3961981,3933247,3904283,3876005,3848795,3823787,3798253,3773377,3750798,3676045,3633163,3588795,3544097,3499589,3454233,3408148,3376758,3356188,3335288,3326573,3325915
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,77347,80654,84056,87561,91171,94733,98203,101688,102987,101841,100311,100722,104052,108352,112910,117721,122742,127929,133245,138648,144097,149471,154850,160489,166490,172873,179619,186677,193967,201407,208888,204476,210143,215870,221775,227861,234133,240585,247202,253982,260942,269157,285565,303394,323411,345796,370752,398513,420646,446789,464903,450440,450966,469893,501714,523035,533830,554706,558295,556667,554866,571651,579797,598073,603043
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,59526,62141,64937,67867,70837,73915,77222,80743,84460,88223,91542,94341,96894,99275,101573,103853,106146,108440,110708,112923,115127,117276,119371,121520,123722,126012,128360,130707,133119,135653,138191,140733,143492,146360,149115,151773,154370,156881,159308,161626,163954,166159,168237,170475,172824,175138,177690,180554,183318,186036,188778,191289,193481,195523,197496,199318,200976,202502,203929,205180,205987,206455,207295,208531,209686
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1729855,1767628,1796926,1822670,1847187,1870907,1894092,1916575,1937934,1957994,1976985,1994612,2010836,2026544,2042432,2058650,2074832,2090527,2105713,2120706,2136154,2152203,2169542,2187997,2206149,2223227,2238641,2252234,2263849,2273207,2280043,2284277,2179584,2028828,1948712,1947058,2027684,2099408,2135066,2155462,2169976,2179564,2183717,2178854,2160022,2137876,2121527,2096898,2064139,2030314,1996037,1960912,1924626,1894411,1870555,1846373,1822354,1798537,1776605,1755046,1730652,1701558,1680628,1670406,1658459
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,4529311,4555861,4587148,4621177,4657004,4693046,4729741,4767982,4806485,4843872,4879711,4915123,4949402,4980849,5008249,5030464,5050315,5075034,5105812,5133580,5160641,5192628,5224294,5256848,5289433,5321529,5354821,5387621,5396631,5405163,5411107,5410497,5417420,5424491,5429670,5423510,5402294,5376448,5349815,5327231,5305824,5281537,5251762,5219844,5188807,5158397,5131704,5111547,5096090,5084640,5074444,5064259,5057231,5054425,5055280,5059103,5060389,5052859,5040188,5028345,5007632,4967859,4928161,4900868,4877396
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,46116,47210,48345,49614,51006,52482,54042,55671,57335,58935,60213,61180,62044,62850,63640,64669,65961,67285,68623,70027,71648,73456,75299,77145,78996,80851,82714,84591,86501,88448,90413,92348,94280,96235,98323,100834,103894,107434,111275,115196,119052,122888,126814,130825,134912,139072,143291,147546,151818,156086,159881,163227,166617,170066,173569,177130,181032,184992,188461,191404,194048,196444,199820,203619,206630
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,20623,21054,21552,22049,22536,23011,23491,23913,24287,24663,25026,25276,25398,25492,25569,25625,25749,25945,26140,26316,26469,26654,26875,27099,27321,27537,27736,27953,28199,28440,28675,28912,29151,29379,29593,29787,29958,30157,30389,30630,30856,31039,31195,31336,31447,31552,31642,31741,31867,31962,32037,32081,32076,32054,32017,31966,31964,32083,32288,32503,32711,32916,33016,33018,33017
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,1878990,1917591,1957294,1998255,2040526,2084133,2129198,2175847,2224095,2273705,2324492,2376499,2429506,2483693,2539322,2596257,2655051,2715599,2777175,2839494,2902388,2965813,3029567,3093810,3159030,3224985,3291877,3360463,3430908,3502899,3575981,3649873,3723734,3793879,3860543,3926912,3993148,4058976,4124609,4190916,4257604,4324873,4396256,4472097,4549595,4628556,4709715,4792563,4875789,4959233,5043024,5127114,5211368,5295667,5379801,5463769,5547565,5631129,5714436,5797447,5876234,5947416,6023404,6108428,6194100
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,36100035,37220571,38362620,39524520,40699671,41877789,43052818,44220630,45382763,46549670,47729157,48925361,50143237,51383911,52641174,53917926,55225306,56565645,57937050,59335352,60756685,62191727,63628338,65068014,66508494,67943284,69360681,70752701,72122824,73473665,74810590,76122420,77423630,78712903,79979703,81247242,82513940,83776989,85060291,86337015,87563456,88745464,89889310,90993146,92064387,93116142,94144059,95139801,96094560,96998667,97857569,98697665,99542839,100393208,101245560,102088078,102908376,103701726,104452738,105174727,105816369,106313829,106757480,107227668,107703455
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,120470,121349,122157,123100,124081,125099,126186,127042,127583,127854,127651,127383,127487,127692,127805,127896,127929,127926,127802,127580,127781,128384,129023,129705,130412,131111,131763,132349,132841,133258,133578,133969,134485,134940,135323,135624,135847,136002,136112,136229,135978,136169,137166,138116,139016,139868,140675,141467,142315,143159,143764,144164,144518,144841,145144,145424,145691,145940,146174,146388,146596,146790,146907,146972,147044
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,41322,43035,44752,46572,48521,50525,52579,54678,56810,58966,60357,61321,63127,65441,67788,70171,72582,75043,77537,80052,82618,85243,88133,91331,94692,98220,101897,105462,108841,112222,115630,119145,122698,126194,129680,133156,136617,140072,143515,146948,150376,153763,157076,160290,163381,166348,169198,172550,176496,180528,184675,188458,191362,193793,196180,198528,200827,203062,205214,207287,209300,211320,213203,215060,217022
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,108190,111260,114541,118028,121664,125480,129487,133686,138084,142690,147492,152475,157643,163006,168565,174332,180319,186531,192970,199600,206390,213327,220398,227646,235076,242658,250421,258346,266393,274555,282380,287796,277603,266857,267087,264252,264922,269983,275406,280738,285382,289810,294046,298091,301978,305820,309663,313430,317089,320668,324214,327777,331392,335034,338601,341949,345126,348237,351188,353962,356798,359754,362724,365702,368477
